"title","musicentity","observationValue","startTime","startTimeType","duration","durationType"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","G:maj7","244.83","http://w3id.org/polifonia/resource/ValueType/Second","0.8099999999999739","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","C#:min7","245.64","http://w3id.org/polifonia/resource/ValueType/Second","0.4000000000000057","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","F#:7","246.04","http://w3id.org/polifonia/resource/ValueType/Second","0.4000000000000057","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","B:maj7","246.44","http://w3id.org/polifonia/resource/ValueType/Second","0.8199999999999932","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","F:min7","247.26","http://w3id.org/polifonia/resource/ValueType/Second","0.4200000000000159","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","Bb:7","247.68","http://w3id.org/polifonia/resource/ValueType/Second","0.4199999999999875","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","Eb:maj7","248.1","http://w3id.org/polifonia/resource/ValueType/Second","0.8100000000000023","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","C#:min7","248.91","http://w3id.org/polifonia/resource/ValueType/Second","0.4000000000000057","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","N","249.31","http://w3id.org/polifonia/resource/ValueType/Second","1.1999999999999886","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","F#:7","249.31","http://w3id.org/polifonia/resource/ValueType/Second","0.4000000000000057","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","B:maj7","250.51","http://w3id.org/polifonia/resource/ValueType/Second","0.4099999999999966","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","D:7","250.92","http://w3id.org/polifonia/resource/ValueType/Second","0.4200000000000159","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","G:maj7","251.34","http://w3id.org/polifonia/resource/ValueType/Second","0.4199999999999875","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","Bb:7","251.76","http://w3id.org/polifonia/resource/ValueType/Second","0.4200000000000159","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","Eb:maj7","252.18","http://w3id.org/polifonia/resource/ValueType/Second","0.8499999999999943","http://w3id.org/polifonia/resource/ValueType/Second"
"Giant Steps","http://w3id.org/polifonia/resource/MusicEntity/a7b928f957596ac588935ce8fa1962d016e41438","A:min7","253.03","http://w3id.org/polifonia/resource/ValueType/Second","0.4399999999999977","http://w3id.org/polifonia/resource/ValueType/Second"
